Id,String
,
HELLO,Hello~
BYE,Bye~
YOU DIE,You Die...
Item1Name,Sword
Item2Name,Shield
Item3Name,Bow
Item4Name,Potion
Item1Desc,This is a sword.
Item2Desc,This is a shield.
Item3Desc,This is a bow.
Item4Desc,This is a potion.
Character1Name,Warrior
Character2Name,Mage
Character3Name,Archer
Character4Name,Rogue
Character1Desc,I am a Warrior
Character2Desc,I am a Mage
Character3Desc,I am an Archer
Character4Desc,I am a Rogue
Stat,Attack: {0}\nDefense: {1}
NAME,Name
DESC,Description
TYPE,Type
VALUE,Value
COST,Cost
WEAPON,Weapon
EQUIP,Equipment
CONSUMABLE,Consumable
Sort_TimeAsc,Date(Ascending)
Sort_TimeDesc,Date(Descending)
Sort_NameAsc,Name(Ascending)
Sort_NameDesc,Name(Descending)
Filter_None,None
Filter_Weapon,Weapon
Filter_Equip,Equipment
Filter_Consumable,Consumable
Sort_CostAsc,Cost (Ascending)
Sort_CostDesc,Cost (Descending)
Filter_NonConsumable,Non-Consumable
Btn_Load,Load
Btn_Save,Save
Btn_CreateItem,Create Item
Btn_RemoveItem,Remove Item
